Date,Date,Temperature,Rainfall,Humidity
1,2023-01-16 00:00:00,23.321415820797945,24.949657724697058,63.80110084449122
2,2023-02-14 12:00:00,24.956342301916244,28.267470390743814,59.49248324852041
3,2023-03-16 00:00:00,24.31300972651288,24.27151676348614,66.64884510214458
4,2023-04-15 12:00:00,24.738384061273873,25.784496236266975,56.90646896021981
5,2023-05-16 00:00:00,24.117541434460414,28.32988774620877,52.23948045200819
6,2023-06-15 12:00:00,23.480447199921233,30.366850743066365,53.80215660533941
7,2023-07-16 00:00:00,25.53507992437453,25.398638896422774,58.76040889632406
8,2023-08-16 00:00:00,26.164862996178712,17.600025188380403,59.20229892539265
9,2023-09-15 12:00:00,27.819469943764886,23.577068008290535,56.818148947957106
10,2023-10-16 00:00:00,23.95930985620221,20.178682390325093,66.8295282228046
11,2023-11-15 12:00:00,24.607933999882224,23.592040039493856,65.21171983456065
12,2023-12-16 00:00:00,24.017016317132022,24.95255856314846,58.500560181306156
